position,meanscore,minscore,maxscore
top,2898.3716814159297,1204.8,6116.2
jng,2194.733185840708,965.8000000000001,5143.4
mid,3135.0261061946876,869.4,7186.6
bot,3308.718584070797,1249.9,7578.3
sup,2168.7429203539823,952.6999999999999,5804.8
